headline,category,publish_date,access_date,video,url
NBA releases revised season schedule for return,sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2880734-nba-announces-revised-2019-20-season-schedule-for-return-after-covid-19-hiatus?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
16 NBA players tested positive for COVID-19,sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2897813-16-of-302-nba-players-tested-positive-for-covid-19-ahead-of-restart?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
"Indy 500 to have fans, over 175K tickets already sold",sports,-bleacherreport.com-articles,2020-06-27,False,https://bleacherreport.com/articles/2897820-2020-indianapolis-500-to-have-fans-in-attendance-at-half-capacity-amid-covid-19?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial
My terrific job offer in SF got snatched away,opinions,2020-06-26,2020-06-27,False,/2020/06/26/opinions/coronavirus-job-offer-san-francisco-snatched-oreilly/index.html
How a finance database could help improve policing,opinions,2020-06-27,2020-06-27,False,/2020/06/27/opinions/police-database-securities-brokers-database-osler-grotz/index.html
"White Southerners, our souls are at stake",opinions,2020-06-23,2020-06-27,False,/2020/06/23/opinions/white-southerners-must-speak-about-racism-adams/index.html
Trump is desperate -- and dangerous ,opinions,2020-06-25,2020-06-27,False,/2020/06/25/opinions/trump-desperate-dangerous-reelection-strategy-dantonio/index.html
The Indian state that got its Covid-19 response right,opinions,2020-06-27,2020-06-27,False,/2020/06/27/opinions/kerala-coronavirus-strategy-success-mathew/index.html
This Portuguese diplomat saved thousands of lives,opinions,2020-06-26,2020-06-27,False,/2020/06/26/opinions/aristides-de-sousa-mendes-visas-refugees-portugal-berger-wall/index.html
Refi rates at 2.53% APR (15 yr). Do you qualify?,opinions,-ck.lendingtree.com-?a=343&c=2546&p=r&s1=partnerbin&mtaid=A944E&ctype=hppaidpartner&cmethod=refiform&rcode=1000&ccreative=refiratesat25315yrdoyouqualify_none&placement_name=hppaidpartner&ad_headline=refiratesat25315yrdoyouqualify&ad_image_name=none,2020-06-27,False,https://ck.lendingtree.com/?a=343&c=2546&p=r&s1=partnerbin&mtaid=A944E&ctype=hppaidpartner&cmethod=refiform&rcode=1000&ccreative=refiratesat25315yrdoyouqualify_none&placement_name=hppaidpartner&ad_headline=refiratesat25315yrdoyouqualify&ad_image_name=none
Pay 0% interest until 2021 with a better card,opinions,-www.comparecards.com-guide,2020-06-27,False,https://www.comparecards.com/guide/pay-0-interest-until-2021?esourceid=6382186&utm_source=cnn&utm_medium=native&pla=cnn.com&bdst=rv&acqs=prospecting&utm_campaign=hppaidpartner&grp=pay-0-2021&tar=hppaidpartner&utm_content=Pay+0+interest+until+2021+with+a+better+card&adt=none
This may be the big winner of the market crash,mark,-www.fool.com-mms,2020-06-27,False,https://www.fool.com/mms/mark/a-sa-dd-3?utm_source=cnn&utm_medium=contentmarketing&utm_campaign=sar-doubledown3-may2020&paid=9431&waid=9431&aid=9431&psource=esaccnwdg0210093&source=esaccnwdg0210093&wsource=esaccnwdg0210093
"Colombian soldiers confess to sexually abusing indigenous girl, says Attorney General",americas,2020-06-27,2020-06-27,False,/2020/06/27/americas/colombian-soldiers-abused-girl-scli-intl/index.html
Analysis: Why the EU is so White,europe,2020-06-27,2020-06-27,False,/2020/06/27/europe/brussels-europe-diversity-intl/index.html
"Beijing opened an embassy on a tiny, remote island during the pandemic. Here's why.",asia,2020-06-26,2020-06-27,False,/2020/06/26/asia/china-australia-pacific-islands-intl-hnk/index.html
Meat packing facility reports over 200 cases of coronavirus,asia,2020-06-27,2020-06-27,True,/videos/world/2020/06/27/meatpacking-plants-coronavirus-stewart-pkg-qmb-vpx.cnn
"Wirecard's collapse reveals cracks at heart of Germany, Inc",tech,2020-06-27,2020-06-27,False,/2020/06/27/tech/wirecard-germany/index.html
The Northeast will see severe thunderstorms and possibly a tornado,weather,2020-06-27,2020-06-27,False,/2020/06/27/weather/severe-storms-saturday/index.html
